ID,Loại,Mã sản phẩm,Tên,Mô tả ngắn,Mô tả,Giá khuyến mãi,Giá bán thường,Danh mục,Hình ảnh,Meta: site-sidebar-layout,Meta: site-content-layout,Meta: theme-transparent-header-meta,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _wp_page_template,Meta: _uag_css_file_name,Meta: _wxr_import_user_slug,Meta: _astra_sites_imported_post,Meta: _astra_sites_enable_for_batch,Meta: ast-site-content-layout,Meta: site-content-style,Meta: site-sidebar-style,Meta: astra-migrate-meta-layouts,Meta: _wp_old_date
\n<thead data-start=""267"" data-end=""298"">
\n<tr data-start=""267"" data-end=""298"">
\n<th class=""last:pe-10"" data-start=""267"" data-end=""282"" data-col-size=""sm""><strong data-start=""269"" data-end=""281"">Thông số</strong></th>
\n<th class=""last:pe-10"" data-start=""282"" data-end=""298"" data-col-size=""sm""><strong data-start=""284"" data-end=""296"">Chi tiết</strong></th>
\n</tr>
\n</thead>
\n<tbody data-start=""309"" data-end=""528"">
\n<tr data-start=""309"" data-end=""344"">
\n<td data-start=""309"" data-end=""326"" data-col-size=""sm""><strong data-start=""311"" data-end=""325"">Kích thước</strong></td>
\n<td data-start=""326"" data-end=""344"" data-col-size=""sm"">H550 × D320 mm</td>
\n</tr>
\n<tr data-start=""345"" data-end=""379"">
\n<td data-start=""345"" data-end=""361"" data-col-size=""sm""><strong data-start=""347"" data-end=""360"">Chất liệu</strong></td>
\n<td data-start=""361"" data-end=""379"" data-col-size=""sm"">Gốm khảm xà cừ</td>
\n</tr>
\n<tr data-start=""380"" data-end=""417"">
\n<td data-start=""380"" data-end=""394"" data-col-size=""sm""><strong data-start=""382"" data-end=""393"">Màu sắc</strong></td>
\n<td data-start=""394"" data-end=""417"" data-col-size=""sm"">Trắng ngà ánh xà cừ</td>
\n</tr>
\n<tr data-start=""418"" data-end=""449"">
\n<td data-start=""418"" data-end=""438"" data-col-size=""sm""><strong data-start=""420"" data-end=""437"">Loại bóng đèn</strong></td>
\n<td data-start=""438"" data-end=""449"" data-col-size=""sm"">Đui E27</td>
\n</tr>
\n<tr data-start=""450"" data-end=""486"">
\n<td data-start=""450"" data-end=""469"" data-col-size=""sm""><strong data-start=""452"" data-end=""468"">Màu ánh sáng</strong></td>
\n<td data-start=""469"" data-end=""486"" data-col-size=""sm"">Ánh sáng vàng</td>
\n</tr>
\n<tr data-start=""487"" data-end=""528"">
\n<td data-start=""487"" data-end=""502"" data-col-size=""sm""><strong data-start=""489"" data-end=""501"">Công tắc</strong></td>
\n<td data-start=""502"" data-end=""528"" data-col-size=""sm"">Công tắc trên dây điện</td>
\n</tr>
\n</tbody>
\n</table>","<p class=""PDq2pG_selectionAnchorContainer"" data-start=""739"" data-end=""1052"">Nổi bật với phần thân gốm có kiểu dáng bầu tròn mềm mại, bề mặt được hoàn thiện bằng các chi tiết xà cừ mang sắc trắng ngà và hiệu ứng phản chiếu nhẹ. Chao đèn hình trụ màu kem giúp tổng thể sản phẩm cân đối, thanh lịch và dễ kết hợp với nhiều phong cách nội thất.</p>
\n<p data-start=""1054"" data-end=""1295"">Khi bật đèn, ánh sáng vàng được khuếch tán nhẹ qua chao, tạo cảm giác ấm áp và thư giãn. Sản phẩm phù hợp sử dụng làm đèn ngủ đầu giường, đèn trang trí phòng khách, đèn đặt trên bàn phụ cạnh sofa, bàn console, kệ trang trí hoặc khu vực sảnh.</p>
\n<p data-start=""1297"" data-end=""1562"">Với kích thước tổng thể <strong data-start=""1321"" data-end=""1339"">H550 × D320 mm</strong>, mẫu đèn có tỷ lệ vừa đủ để tạo điểm nhấn nhưng không chiếm quá nhiều diện tích bề mặt. Thân đèn màu trắng ngà kết hợp chao màu kem phù hợp với các không gian sử dụng gỗ tự nhiên, đá, kim loại, màu be, nâu, trắng hoặc xám.</p>
\n<p data-start=""1564"" data-end=""1810"">Sản phẩm sử dụng <strong data-start=""1581"" data-end=""1597"">đui bóng E27</strong>, thuận tiện thay thế bóng đèn và dễ tìm mua trên thị trường. Hệ thống <strong data-start=""1668"" data-end=""1684"">công tắc dây</strong> giúp bật, tắt đèn nhanh chóng. Ánh sáng vàng phù hợp cho các không gian cần cảm giác dễ chịu, ấm cúng và mang tính trang trí.</p>
\n
\n<h3 data-section-id=""srfjgi"" data-start=""1812"" data-end=""1833"">Thông tin sử dụng</h3>
\n<ul data-start=""1835"" data-end=""2132"">
\n 	<li data-section-id=""14yieaa"" data-start=""1835"" data-end=""1862"">Sử dụng bóng đèn đui E27.</li>
\n 	<li data-section-id=""93uw6s"" data-start=""1863"" data-end=""1904"">Bật và tắt bằng công tắc trên dây điện.</li>
\n 	<li data-section-id=""7uscl9"" data-start=""1905"" data-end=""1925"">Ánh sáng màu vàng.</li>
\n 	<li data-section-id=""1j950ng"" data-start=""1926"" data-end=""1954"">Phù hợp sử dụng trong nhà.</li>
\n 	<li data-section-id=""18a9b6n"" data-start=""1955"" data-end=""2009"">Nên vệ sinh thân đèn bằng khăn mềm, khô hoặc hơi ẩm.</li>
\n 	<li data-section-id=""1l70uhq"" data-start=""2010"" data-end=""2081"">Không sử dụng vật liệu nhám hoặc hóa chất tẩy mạnh trên bề mặt xà cừ.</li>
\n 	<li data-section-id=""17rw8tb"" data-start=""2082"" data-end=""2132"">Tắt nguồn điện trước khi vệ sinh hoặc thay bóng.</li>
\n</ul>
\n<h3 data-section-id=""dwb8h"" data-start=""2134"" data-end=""2168"">Chính sách bảo hành và đổi trả</h3>
\n<ul data-start=""2170"" data-end=""2466"">
\n 	<li data-section-id=""ngkfvr"" data-start=""2170"" data-end=""2255""><strong data-start=""2172"" data-end=""2192"">Bảo hành 6 tháng</strong> đối với các lỗi kỹ thuật thuộc phạm vi bảo hành của An Lights.</li>
\n 	<li data-section-id=""1ncbve0"" data-start=""2256"" data-end=""2330""><strong data-start=""2258"" data-end=""2292"">Đổi mới 1:1 trong vòng 15 ngày</strong> theo điều kiện đổi trả của An Lights.</li>
\n 	<li data-section-id=""1c8twy9"" data-start=""2331"" data-end=""2466"">Sản phẩm đổi trả cần giữ nguyên hiện trạng, đầy đủ phụ kiện và không có dấu hiệu hư hỏng do sử dụng sai cách hoặc tác động ngoại lực.</li>
\n</ul>
\n<h3 data-section-id=""f16rj4"" data-start=""2468"" data-end=""2493"">Chính sách vận chuyển</h3>
\n<ul data-start=""2495"" data-end=""2772"">
\n 	<li data-section-id=""1p9scda"" data-start=""2495"" data-end=""2524"">Hỗ trợ giao hàng toàn quốc.</li>
\n 	<li data-section-id=""1xx08pj"" data-start=""2525"" data-end=""2578"">Sản phẩm được đóng gói bảo vệ trước khi vận chuyển.</li>
\n 	<li data-section-id=""1hc8hva"" data-start=""2579"" data-end=""2692"">Thời gian và chi phí giao hàng được xác định theo địa chỉ nhận hàng, kích thước kiện hàng và đơn vị vận chuyển.</li>
\n 	<li data-section-id=""1itsrck"" data-start=""2693"" data-end=""2772"">Khách hàng nên kiểm tra tình trạng bên ngoài của kiện hàng khi nhận sản phẩm.</li>
\n</ul>",,1600000,"Chưa phân loại, Sản Phẩm > Đèn Bàn, Sản Phẩm","https://anlights.com/wp-content/uploads/2026/07/z6211127493199_09042179232042ec5325ba861aad87f3-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127431536_8acbbe279434ddd71d60ee125a783c6b-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127460603_1a02a7aa783c7117d56a2bc867aed5fc-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127467782_e326cc6b29b59df314206ae132ed50aa-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127474454_3b1c245e866d2d31baf3ddcfaa83f840-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127478720_8551e0a1a6f7a66cacc9fd74f428c25d-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127488369_b1b9895b86a9688f3d06a28aabee58f4-Sao-chep.jpg, https://anlights.com/wp-content/uploads/2026/07/z6211127493199_09042179232042ec5325ba861aad87f3-Sao-chep.jpg",default,,default,,,,default,,,,,default,default,default,set,

624,simple,,Đèn sàn gỗ tự nhiên Halo Spire,"<table class=""w-fit min-w-(--thread-content-width)"" data-start=""2997"" data-end=""3240"">
\n<thead data-start=""2997"" data-end=""3028"">
\n<tr data-start=""2997"" data-end=""3028"">
\n<th class=""last:pe-10"" data-start=""2997"" data-end=""3012"" data-col-size=""sm""><strong data-start=""2999"" data-end=""3011"">Thông số</strong></th>
\n<th class=""last:pe-10"" data-start=""3012"" data-end=""3028"" data-col-size=""sm""><strong data-start=""3014"" data-end=""3026"">Chi tiết</strong></th>
\n</tr>
\n</thead>
\n<tbody data-start=""3039"" data-end=""3240"">
\n<tr data-start=""3039"" data-end=""3075"">
\n<td data-start=""3039"" data-end=""3056"" data-col-size=""sm""><strong data-start=""3041"" data-end=""3055"">Kích thước</strong></td>
\n<td data-start=""3056"" data-end=""3075"" data-col-size=""sm"">L340 × H1450 mm</td>
\n</tr>
\n<tr data-start=""3076"" data-end=""3107"">
\n<td data-start=""3076"" data-end=""3092"" data-col-size=""sm""><strong data-start=""3078"" data-end=""3091"">Chất liệu</strong></td>
\n<td data-start=""3092"" data-end=""3107"" data-col-size=""sm"">Gỗ tự nhiên</td>
\n</tr>
\n<tr data-start=""3108"" data-end=""3129"">
\n<td data-start=""3108"" data-end=""3122"" data-col-size=""sm""><strong data-start=""3110"" data-end=""3121"">Màu sắc</strong></td>
\n<td data-start=""3122"" data-end=""3129"" data-col-size=""sm"">Đen</td>
\n</tr>
\n<tr data-start=""3130"" data-end=""3161"">
\n<td data-start=""3130"" data-end=""3150"" data-col-size=""sm""><strong data-start=""3132"" data-end=""3149"">Loại bóng đèn</strong></td>
\n<td data-start=""3150"" data-end=""3161"" data-col-size=""sm"">Đui E27</td>
\n</tr>
\n<tr data-start=""3162"" data-end=""3198"">
\n<td data-start=""3162"" data-end=""3181"" data-col-size=""sm""><strong data-start=""3164"" data-end=""3180"">Màu ánh sáng</strong></td>
\n<td data-start=""3181"" data-end=""3198"" data-col-size=""sm"">Ánh sáng vàng</td>
\n</tr>
\n<tr data-start=""3199"" data-end=""3240"">
\n<td data-start=""3199"" data-end=""3214"" data-col-size=""sm""><strong data-start=""3201"" data-end=""3213"">Công tắc</strong></td>
\n<td data-start=""3214"" data-end=""3240"" data-col-size=""sm"">Công tắc trên dây điện</td>
\n</tr>
\n</tbody>
\n</table>","<h2 class=""PDq2pG_selectionAnchorContainer"" data-section-id=""13ivaft"" data-start=""488"" data-end=""529"">Đèn sàn gỗ tự nhiên Halo Spire DS-0004</h2>
\n<p data-start=""531"" data-end=""788""><strong data-start=""531"" data-end=""553"">Halo Spire DS-0004</strong> là mẫu đèn sàn trang trí sở hữu kiểu dáng cao, thanh thoát và có tính nhận diện mạnh. Phần thân thuôn dài theo dạng hình côn tạo cảm giác vững chắc ở chân đế, đồng thời giúp tổng thể sản phẩm trở nên nhẹ và cân đối hơn khi nhìn từ xa.</p>
\n<p data-start=""790"" data-end=""1015"">Điểm đặc trưng của Halo Spire nằm ở chi tiết vòng tròn được bố trí gần phần đầu thân đèn. Chi tiết này tạo điểm ngắt thị giác giữa thân đèn và bộ phận chiếu sáng, giúp sản phẩm không bị đơn điệu dù sử dụng đường nét tối giản.</p>
\n<p data-start=""1017"" data-end=""1282"">Thân đèn được hoàn thiện từ gỗ tự nhiên, mang lại cảm giác chắc chắn và phù hợp với những không gian đề cao vật liệu thủ công. Bề mặt tối màu làm nổi bật hình khối của thân đèn, đồng thời dễ kết hợp với nội thất gỗ, đá, bê tông, kim loại và các bảng màu trung tính.</p>
\n<p data-start=""1284"" data-end=""1597"">Với chiều cao <strong data-start=""1298"" data-end=""1309"">1450 mm</strong> và chiều rộng tổng thể <strong data-start=""1333"" data-end=""1343"">340 mm</strong>, đèn có tỷ lệ phù hợp để đặt cạnh sofa, ghế thư giãn, góc đọc sách, đầu giường hoặc các khoảng trống cần bổ sung ánh sáng trang trí. Ánh sáng vàng tạo cảm giác ấm áp, thích hợp sử dụng vào buổi tối hoặc trong những không gian cần bầu không khí thư giãn.</p>
\n<p data-start=""1599"" data-end=""1784"">Sản phẩm sử dụng <strong data-start=""1616"" data-end=""1632"">đui bóng E27</strong>, giúp người dùng dễ dàng lựa chọn và thay thế bóng đèn. Hệ thống <strong data-start=""1698"" data-end=""1724"">công tắc trên dây điện</strong> thuận tiện cho thao tác bật và tắt trong quá trình sử dụng.</p>
\n
\n<h2 data-section-id=""1vqio95"" data-start=""1786"" data-end=""1818"">Hướng dẫn sử dụng và bảo quản</h2>
\n<ul data-start=""1820"" data-end=""2206"">
\n 	<li data-section-id=""13xh6vm"" data-start=""1820"" data-end=""1896"">Sử dụng bóng đèn đui E27 phù hợp với công suất được An Lights khuyến nghị.</li>
\n 	<li data-section-id=""qqpgv7"" data-start=""1897"" data-end=""1950"">Đặt đèn trên bề mặt bằng phẳng, khô ráo và ổn định.</li>
\n 	<li data-section-id=""d9iny7"" data-start=""1951"" data-end=""2001"">Tắt nguồn điện trước khi thay bóng hoặc vệ sinh.</li>
\n 	<li data-section-id=""13f0o7w"" data-start=""2002"" data-end=""2051"">Dùng khăn mềm, khô hoặc hơi ẩm để lau thân đèn.</li>
\n 	<li data-section-id=""1satp5q"" data-start=""2052"" data-end=""2120"">Không sử dụng vật liệu nhám hoặc hóa chất tẩy mạnh trên bề mặt gỗ.</li>
\n 	<li data-section-id=""1llp90e"" data-start=""2121"" data-end=""2206"">Chỉ sử dụng trong nhà, tránh khu vực có độ ẩm cao hoặc tiếp xúc trực tiếp với nước.</li>
\n</ul>
\n<h2 data-section-id=""1nss64i"" data-start=""2208"" data-end=""2241"">Chính sách bảo hành và đổi trả</h2>
\n<ul data-start=""2243"" data-end=""2536"">
\n 	<li data-section-id=""8ivlwm"" data-start=""2243"" data-end=""2324""><strong data-start=""2245"" data-end=""2265"">Bảo hành 6 tháng</strong> đối với lỗi kỹ thuật thuộc phạm vi bảo hành của An Lights.</li>
\n 	<li data-section-id=""1ncbve0"" data-start=""2325"" data-end=""2399""><strong data-start=""2327"" data-end=""2361"">Đổi mới 1:1 trong vòng 15 ngày</strong> theo điều kiện đổi trả của An Lights.</li>
\n 	<li data-section-id=""fittkj"" data-start=""2400"" data-end=""2536"">Sản phẩm đổi trả cần giữ nguyên hiện trạng, đầy đủ phụ kiện và không hư hỏng do va đập, sử dụng sai hướng dẫn hoặc tác động ngoại lực.</li>
\n</ul>
\n<h2 data-section-id=""1gbnm8z"" data-start=""2538"" data-end=""2562"">Chính sách vận chuyển</h2>
\n<ul data-start=""2564"" data-end=""2973"">
\n 	<li data-section-id=""1p9scda"" data-start=""2564"" data-end=""2593"">Hỗ trợ giao hàng toàn quốc.</li>
\n 	<li data-section-id=""g7x9vg"" data-start=""2594"" data-end=""2667"">Sản phẩm được đóng gói bảo vệ trước khi bàn giao cho đơn vị vận chuyển.</li>
\n 	<li data-section-id=""15v5bpi"" data-start=""2668"" data-end=""2762"">Thời gian và chi phí giao hàng được xác định theo địa chỉ nhận hàng và kích thước kiện hàng.</li>
\n 	<li data-section-id=""dszf2w"" data-start=""2763"" data-end=""2839"">Khách hàng nên kiểm tra tình trạng bên ngoài của kiện hàng trước khi nhận.</li>
\n 	<li data-section-id=""1v35n0n"" data-start=""2840"" data-end=""2973"">Trường hợp phát hiện hư hỏng do vận chuyển, khách hàng cần quay video hoặc chụp ảnh tình trạng kiện hàng để An Lights hỗ trợ xử lý.</li>
\n</ul>",,2550000,"Chưa phân loại, Sản Phẩm > Đèn Sàn, Sản Phẩm",https://anlights.com/wp-content/uploads/2026/07/den-san-go-tu-nhien-halo-spire-ds-0004-1.png,,,,,,,default,,,,,,,,,7/18/2026

630,simple,,Đèn sàn gỗ tự nhiên Forest Spire,"<table>
\n<thead>
\n<tr>
\n<th>Thông số</th>
\n<th>Chi tiết</th>
\n</tr>
\n</thead>
\n<tbody>
\n<tr>
\n<td>Mã sản phẩm</td>
\n<td>DS-0005</td>
\n</tr>
\n<tr>
\n<td>Kích thước</td>
\n<td>H1400 × D320 mm</td>
\n</tr>
\n<tr>
\n<td>Chất liệu</td>
\n<td>Gỗ tự nhiên, chao vải</td>
\n</tr>
\n<tr>
\n<td>Màu sắc</td>
\n<td>Thân nâu đen, chao màu kem</td>
\n</tr>
\n<tr>
\n<td>Loại bóng đèn</td>
\n<td>Đui E27</td>
\n</tr>
\n<tr>
\n<td>Điện áp sử dụng</td>
\n<td>220V–50Hz</td>
\n</tr>
\n<tr>
\n<td>Màu ánh sáng</td>
\n<td>Ánh sáng vàng</td>
\n</tr>
\n<tr>
\n<td>Công tắc</td>
\n<td>Công tắc trên dây điện</td>
\n</tr>
\n<tr>
\n<td>Phạm vi sử dụng</td>
\n<td>Trong nhà</td>
\n</tr>
\n</tbody>
\n</table>","<p class=""PDq2pG_selectionAnchorContainer"" data-start=""476"" data-end=""792""><strong data-start=""476"" data-end=""520"">Đèn sàn gỗ tự nhiên Forest Spire DS-0005</strong> gây ấn tượng bằng thân đèn cao, thanh mảnh và thuôn dần về phía trên như một ngọn tháp. Sắc nâu đen trầm của gỗ kết hợp cùng chân đế tròn tạo nên tổng thể vững chãi nhưng không nặng nề, thích hợp làm điểm nhấn cho những không gian đề cao sự tối giản và vật liệu tự nhiên.</p>
\n<p data-start=""794"" data-end=""1157"">Phần thân được hoàn thiện từ gỗ tự nhiên, giữ lại sắc độ và đường nét riêng của vật liệu. Chao đèn bằng vải màu kem có dáng trụ loe nhẹ, giúp cân bằng tỷ lệ với phần thân cao, đồng thời làm mềm ánh sáng khi đèn được bật. Sự kết hợp giữa gỗ tối màu và chao vải sáng tạo nên nét tương phản thanh lịch, dễ phối cùng nội thất gỗ, tường sáng màu và các gam trung tính.</p>
\n<p data-start=""1159"" data-end=""1439"">Khi sử dụng cùng bóng E27 ánh sáng vàng, chao vải giúp khuếch tán ánh sáng dịu nhẹ, mang lại cảm giác thư giãn và ấm cúng. Forest Spire phù hợp đặt cạnh sofa, trong góc phòng khách, phòng ngủ, khu vực sảnh, góc đọc sách thư giãn hoặc bên chân cầu thang nhưng không cản trở lối đi.</p>
\n<p data-start=""1441"" data-end=""1727"">Với kích thước tổng thể <strong data-start=""1465"" data-end=""1484"">H1400 × D320 mm</strong>, đèn có chiều cao vừa đủ để tạo điểm nhấn theo phương đứng mà không chiếm nhiều diện tích sàn. Dáng thân thuôn gọn đặc biệt phù hợp với căn hộ, nhà phố, studio, homestay hoặc quán cà phê theo phong cách tối giản, Rustic, Japandi và Wabi Sabi.</p>
\n<p data-start=""1729"" data-end=""1974"">Sản phẩm sử dụng <strong data-start=""1746"" data-end=""1762"">đui bóng E27</strong> thông dụng, thuận tiện thay thế và lựa chọn bóng đèn trên thị trường. Đèn sử dụng nguồn điện <strong data-start=""1856"" data-end=""1869"">220V–50Hz</strong>, phù hợp hệ thống điện tại Việt Nam, đồng thời được trang bị công tắc trên dây để bật và tắt thuận tiện.</p>
\n
\n<h3 data-section-id=""srfjgi"" data-start=""1976"" data-end=""1997"">Thông tin sử dụng</h3>
\n<ul data-start=""1999"" data-end=""2557"">
\n 	<li data-section-id=""14yieaa"" data-start=""1999"" data-end=""2026"">Sử dụng bóng đèn đui E27.</li>
\n 	<li data-section-id=""uqkxad"" data-start=""2027"" data-end=""2081"">Khuyến nghị dùng bóng LED ánh sáng vàng 2700K–3000K.</li>
\n 	<li data-section-id=""1nltvpe"" data-start=""2082"" data-end=""2113"">Sử dụng nguồn điện 220V–50Hz.</li>
\n 	<li data-section-id=""93uw6s"" data-start=""2114"" data-end=""2155"">Bật và tắt bằng công tắc trên dây điện.</li>
\n 	<li data-section-id=""1032xbb"" data-start=""2156"" data-end=""2203"">Chỉ sử dụng trong nhà và tại khu vực khô ráo.</li>
\n 	<li data-section-id=""1og8tro"" data-start=""2204"" data-end=""2248"">Đặt đèn trên bề mặt bằng phẳng, chắc chắn.</li>
\n 	<li data-section-id=""dslyw2"" data-start=""2249"" data-end=""2300"">Ngắt nguồn điện trước khi thay bóng hoặc vệ sinh.</li>
\n 	<li data-section-id=""2ntkdu"" data-start=""2301"" data-end=""2350"">Vệ sinh thân gỗ bằng khăn mềm, khô hoặc hơi ẩm.</li>
\n 	<li data-section-id=""1bjbiej"" data-start=""2351"" data-end=""2417"">Làm sạch chao vải bằng chổi mềm hoặc máy hút bụi ở lực hút thấp.</li>
\n 	<li data-section-id=""8s50m3"" data-start=""2418"" data-end=""2479"">Không sử dụng hóa chất tẩy mạnh trên bề mặt gỗ và chao đèn.</li>
\n 	<li data-section-id=""1xhn5u8"" data-start=""2480"" data-end=""2557"">Tránh để sản phẩm tiếp xúc trực tiếp với nước hoặc môi trường có độ ẩm cao.</li>
\n</ul>
\n<h3 data-section-id=""dwb8h"" data-start=""2559"" data-end=""2593"">Chính sách bảo hành và đổi trả</h3>
\n<ul data-start=""2595"" data-end=""3014"">
\n 	<li data-section-id=""1w8ndz"" data-start=""2595"" data-end=""2680"">Bảo hành <strong data-start=""2606"" data-end=""2617"">6 tháng</strong> đối với các lỗi kỹ thuật thuộc phạm vi bảo hành của An Lights.</li>
\n 	<li data-section-id=""1i43myb"" data-start=""2681"" data-end=""2762"">Hỗ trợ <strong data-start=""2690"" data-end=""2724"">đổi mới 1:1 trong vòng 15 ngày</strong> theo điều kiện đổi trả của An Lights.</li>
\n 	<li data-section-id=""1c8twy9"" data-start=""2763"" data-end=""2898"">Sản phẩm đổi trả cần giữ nguyên hiện trạng, đầy đủ phụ kiện và không có dấu hiệu hư hỏng do sử dụng sai cách hoặc tác động ngoại lực.</li>
\n 	<li data-section-id=""14u7mxg"" data-start=""2899"" data-end=""3014"">Sai khác nhẹ về sắc độ và đường nét bề mặt là đặc trưng tự nhiên của vật liệu gỗ, không được xem là lỗi sản phẩm.</li>
\n</ul>
\n<h3 data-section-id=""f16rj4"" data-start=""3016"" data-end=""3041"">Chính sách vận chuyển</h3>
\n<ul data-start=""3043"" data-end=""3436"">
\n 	<li data-section-id=""1p9scda"" data-start=""3043"" data-end=""3072"">Hỗ trợ giao hàng toàn quốc.</li>
\n 	<li data-section-id=""1xx08pj"" data-start=""3073"" data-end=""3126"">Sản phẩm được đóng gói bảo vệ trước khi vận chuyển.</li>
\n 	<li data-section-id=""1hc8hva"" data-start=""3127"" data-end=""3240"">Thời gian và chi phí giao hàng được xác định theo địa chỉ nhận hàng, kích thước kiện hàng và đơn vị vận chuyển.</li>
\n 	<li data-section-id=""1itsrck"" data-start=""3241"" data-end=""3320"">Khách hàng nên kiểm tra tình trạng bên ngoài của kiện hàng khi nhận sản phẩm.</li>
\n 	<li data-section-id=""254hbg"" data-start=""3321"" data-end=""3436"">Nếu kiện hàng có dấu hiệu móp, rách hoặc va đập mạnh, khách hàng nên quay video trước và trong quá trình mở kiện.</li>
\n</ul>",,2450000,"Chưa phân loại, Sản Phẩm > Đèn Sàn, Sản Phẩm","https://anlights.com/wp-content/uploads/2026/07/den-san-go-tu-nhien-forest-spire-ds-0005.jpg.jpg, https://anlights.com/wp-content/uploads/2026/07/z5657683574224_7e19c0994ee3ea9d3cbf04823922dc0a.jpg, https://anlights.com/wp-content/uploads/2026/07/z5657683577221_cbbb8990b0c457b82c87c425d1290e48-scaled.jpg, https://anlights.com/wp-content/uploads/2026/07/z5657683588215_5d0af341ca021e392c200db1907cad1a.jpg, https://anlights.com/wp-content/uploads/2026/07/z5657683606796_ff29082c12066e86abcb382d9c72785e.jpg",default,,default,,,,default,,,,,default,default,default,set,
